SMILES,Affinity_kcal
CCOP(=S)(OCC)Sc1nc(Cl)nc(SP(=S)(OCC)OCC)n1,-9.07
Nc1cnc(/N=N/c2c(I)cc(I)c(C(=O)O)c2I)c(N)c1,-9.07
Cc1ccc2nc3c(c(NCC(C)C)c2c1)CCCC3,-9.06
CCN(CC)CCOC(=O)[C@](O)(c1cccs1)[C@@H]1C=CCC1,-9.06
CN1CC[C@]23c4c5ccc(O)c4O[C@@H]2C(=O)CC[C@]3(O)[C@H]1C5,-9.06
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(O)cc1CCCCC,-9.04
c1ccc(CP(Cc2ccccc2)Cc2ccccc2)cc1,-9.04
O=C(NC=CNC(=O)Sc1ccccc1)Sc1ccccc1,-9.04
O=C(O[C@H]1Cc2c(O)cc(O)cc2O[C@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,-9.04
CC(=O)Nc1ccc2c(c1)[C@H](O)c1ccccc1-2,-9.02
CCN(CCC#N)c1ccc(/N=N/c2nc3cc(Cl)cc(Cl)c3s2)cc1,-9.02
Cn1c(=O)c2c(ncn2CCNCc2cccnc2)n(C)c1=O,-9.02
O=C(CC1C=CC=CC=C1)OCCN1CCCCC1,-9.02
O=C1c2ccc(Cl)cc2-c2cc(Cl)ccc21,-9.02
c1c2c(cc3c1OCO3)-c1cc3ccc4c(c3c[n+]1CC2)OCO4,-9
CN(C)C(=O)Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-8.97
CC(=O)[C@@H]1CC[C@@H]2[C@H](CCC3=CC(=O)CC[C@H]32)C1,-8.96
COc1ccc(-c2cc(Cl)cc([C@H](C)C(=O)O)c2)cc1,-8.96
CCCN(CCC)[C@@H]1Cc2cccc3cc(O)cc(c23)C1,-8.95
CC(=O)N(O)c1ccc(C=Cc2ccc(Br)cc2)cc1,-8.93
COC(C(=O)OCc1ccccn1)(c1ccccc1)c1ccccc1,-8.93
O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cccnc1,-8.93
O=[N+]([O-])c1cc(Cl)c(/N=N/c2ccc(N(CCO)CCO)cc2Cl)c(Br)c1,-8.92
